"archetype","total_students","archetype_share","avg_stem_score","avg_humanities_score","avg_asymmetry_delta","women_pct","men_pct","rural_pct","city_pct","abroad_pct"
"Збалансований базовий рівень","149717","51.7","133.4","142.3","-8.9","49.5","50.5","19.9","78.9","1.2"
"Гуманітарний профіль","66985","23.1","123.3","151.8","-28.5","64.5","35.5","20.3","78.6","1.1"
"Академічна група ризику","52763","18.2","38.3","128.5","-90.2","47.7","52.3","27.5","71.8","0.7"
"Академічний універсал","13665","4.7","176.8","175.2","1.6","58.9","41.1","13.0","86.4","0.5"
"STEM-спеціаліст","6462","2.2","168.2","143.8","24.4","32.4","67.6","12.8","85.3","1.9"
