"elective_subject","total_candidates","election_share","elective_avg","mandatory_avg","elective_median","mandatory_median","median_delta","share_of_all_q1_students","share_of_all_q2_students","share_of_all_q3_students","mandatory_failed_prc","mandatory_high_achievers_prc","elective_subject_failed_prc","elective_subject_high_achievers_prc"
"Eng","108893","37.60","143.63","143.41","148.00","144.00","4.00","17.45","35.69","61.33","5.7","2.5","2.4","4.8"
"Chem","2616","0.90","130.18","141.80","138.00","143.33","-5.33","0.63","0.76","1.46","7.8","3.6","6.2","3.8"
"Fra","270","0.09","142.02","141.51","150.00","141.67","8.33","0.04","0.11","0.11","3.7","1.1","4.4","2.2"
"Phys","8043","2.78","120.22","140.88","131.00","141.33","-10.33","2.34","2.26","4.25","9.1","5.2","10.5","2.1"
"Deu","3131","1.08","153.02","138.66","153.00","140.00","13.00","0.68","1.21","1.21","7.2","1.4","1.4","7.6"
"Spa","134","0.05","145.56","136.76","150.50","138.33","12.17","0.04","0.05","0.05","9.7","1.5","3.7","13.4"
"UkrLit","43162","14.90","133.75","130.18","136.00","133.33","2.67","18.38","15.33","10.63","16.3","0.5","2.6","4.0"
"Bio","57383","19.82","147.35","128.46","146.00","131.67","14.33","27.63","19.97","11.80","16.8","0.7","0.1","2.1"
"Geo","65960","22.78","141.91","126.83","142.00","131.00","11.00","32.82","24.62","9.16","17.2","0.3","0.1","0.2"
